Experiment,Condition,Count,TotalArea,AverageSize,AreaPercentage,Mean,IntDen
4,C_10uM,0,0,NaN,0,NaN,NaN
4,C_10uM,0,0,NaN,0,NaN,NaN
4,C_10uM,3,28,9.333,1.581,12.628,128.333
4,C_10uM,1,1,1,0.072,12,12
4,C_10uM,4,4,1,0.342,12.5,12.5
4,C_10uM,1,37,37,3.107,18.297,677
4,C_10uM,1,9,9,0.839,15.556,140
4,C_10uM,5,47,9.4,5.76,13.98,150.2
4,C_10uM,0,0,NaN,0,NaN,NaN
4,C_10uM,1,1,1,0.094,13,13
4,C_10uM,0,0,NaN,0,NaN,NaN
4,C_10uM,0,0,NaN,0,NaN,NaN
4,C_10uM,0,0,NaN,0,NaN,NaN
4,C_10uM,0,0,NaN,0,NaN,NaN
4,C_10uM,0,0,NaN,0,NaN,NaN
4,C_10uM,0,0,NaN,0,NaN,NaN
4,C_10uM,1,6,6,0.421,12.667,76
4,C_10uM,0,0,NaN,0,NaN,NaN
4,C_10uM,2,5,2.5,0.385,12.25,31
4,C_10uM,0,0,NaN,0,NaN,NaN
4,C_10uM,2,90,45,8.729,13.202,603
4,C_10uM,0,0,NaN,0,NaN,NaN
4,C_10uM,1,7,7,0.664,14.143,99
4,C_10uM,0,0,NaN,0,NaN,NaN
4,C_10uM,2,17,8.5,1.638,13.031,118.5
4,C_10uM,0,0,NaN,0,NaN,NaN
4,C_10uM,0,0,NaN,0,NaN,NaN
4,C_10uM,0,0,NaN,0,NaN,NaN
4,C_10uM,1,1,1,0.124,12,12
4,C_10uM,0,0,NaN,0,NaN,NaN
4,C_10uM,0,0,NaN,0,NaN,NaN
4,C_10uM,8,15,1.875,1.191,12.125,23
4,C_10uM,14,46,3.286,4.137,12.439,41.5
4,C_10uM,1,1,1,0.069,13,13
4,C_10uM,0,0,NaN,0,NaN,NaN
4,C_10uM,0,0,NaN,0,NaN,NaN
4,C_10uM,0,0,NaN,0,NaN,NaN
4,C_10uM,0,0,NaN,0,NaN,NaN
4,C_10uM,0,0,NaN,0,NaN,NaN
4,C_10uM,0,0,NaN,0,NaN,NaN
4,C_10uM,3,4,1.333,0.381,12.833,17.333
4,C_10uM,7,82,11.714,11.698,12.417,148.714
4,C_10uM,7,22,3.143,2.85,12.167,39
4,C_10uM,6,7,1.167,0.881,12.167,14.333
4,C_10uM,0,0,NaN,0,NaN,NaN
4,C_10uM,0,0,NaN,0,NaN,NaN
4,C_10uM,4,50,12.5,6.519,12.781,159.5
4,C_10uM,0,0,NaN,0,NaN,NaN
4,C_10uM,1,1,1,0.111,12,12
4,C_10uM,0,0,NaN,0,NaN,NaN
4,C_10uM,0,0,NaN,0,NaN,NaN
4,C_10uM,0,0,NaN,0,NaN,NaN
4,C_10uM,1,1,1,0.096,12,12
4,C_10uM,2,2,1,0.177,12,12
4,C_10uM,0,0,NaN,0,NaN,NaN
4,C_10uM,2,2,1,0.168,12,12
4,C_10uM,0,0,NaN,0,NaN,NaN
4,C_10uM,0,0,NaN,0,NaN,NaN
4,C_10uM,0,0,NaN,0,NaN,NaN
4,C_10uM,0,0,NaN,0,NaN,NaN
4,C_10uM,0,0,NaN,0,NaN,NaN
4,C_10uM,3,32,10.667,1.888,12.578,145.333
4,C_10uM,0,0,NaN,0,NaN,NaN
4,C_10uM,3,5,1.667,0.243,12.556,21.667
4,C_10uM,3,6,2,0.395,12.333,25
4,C_10uM,1,1,1,0.05,12,12
4,C_10uM,0,0,NaN,0,NaN,NaN
4,C_10uM,10,38,3.8,1.225,12.482,48.2
4,C_10uM,2,29,14.5,1.121,13.071,204
4,C_10uM,2,2,1,0.117,12.5,12.5
4,C_10uM,2,3,1.5,0.206,12.5,19
4,C_10uM,0,0,NaN,0,NaN,NaN
4,C_10uM,3,3,1,0.314,12.333,12.333
4,C_10uM,2,2,1,0.201,12.5,12.5
4,C_10uM,9,67,7.444,3.886,12.992,102.556
4,C_10uM,1,42,42,1.565,20.333,854
4,C_10uM,1,1,1,0.066,13,13
4,C_10uM,6,21,3.5,0.887,13.202,50.5
4,C_10uM,3,15,5,0.856,12.646,65.333
4,C_10uM,0,0,NaN,0,NaN,NaN
4,C_10uM,1,1,1,0.033,12,12
4,C_10uM,8,84,10.5,7.636,13.298,155.5
4,C_10uM,0,0,NaN,0,NaN,NaN
4,C_10uM,1,1,1,0.054,12,12
4,C_10uM,2,42,21,2.754,15.134,380.5
4,C_10uM,3,5,1.667,0.418,12.667,21.333
4,C_10uM,1,67,67,2.888,28.373,1901
4,C_10uM,1,1,1,0.084,12,12
4,C_10uM,7,16,2.286,0.488,12.257,28.714
