Experiment,Condition,Count,TotalArea,AverageSize,AreaPercentage,Mean,IntDen
1,C_10uM,0,0,NaN,0,NaN,NaN
1,C_10uM,0,0,NaN,0,NaN,NaN
1,C_10uM,1,1,1,0.03,69,69
1,C_10uM,0,0,NaN,0,NaN,NaN
1,C_10uM,0,0,NaN,0,NaN,NaN
1,C_10uM,0,0,NaN,0,NaN,NaN
1,C_10uM,0,0,NaN,0,NaN,NaN
1,C_10uM,0,0,NaN,0,NaN,NaN
1,C_10uM,0,0,NaN,0,NaN,NaN
1,C_10uM,0,0,NaN,0,NaN,NaN
1,C_10uM,0,0,NaN,0,NaN,NaN
1,C_10uM,0,0,NaN,0,NaN,NaN
1,C_10uM,0,0,NaN,0,NaN,NaN
1,C_10uM,1,4,4,0.172,71.75,287
1,C_10uM,2,205,102.5,8.313,77.854,8392
1,C_10uM,2,73,36.5,3.591,74.681,2834
1,C_10uM,0,0,NaN,0,NaN,NaN
1,C_10uM,0,0,NaN,0,NaN,NaN
1,C_10uM,1,2,2,0.086,71,142
1,C_10uM,1,358,358,12.298,101.852,36463
1,C_10uM,2,56,28,1.786,80.346,2294
1,C_10uM,6,194,32.333,17.368,75.976,2847.167
1,C_10uM,10,322,32.2,11.856,76.388,2728.8
1,C_10uM,6,72,12,5.377,75.913,957.5
1,C_10uM,1,38,38,1.467,85.526,3250
1,C_10uM,1,3,3,0.119,73,219
1,C_10uM,1,232,232,9.378,97.284,22570
1,C_10uM,0,0,NaN,0,NaN,NaN
1,C_10uM,0,0,NaN,0,NaN,NaN
1,C_10uM,7,15,2.143,0.543,69.536,149.429
1,C_10uM,1,1,1,0.05,69,69
1,C_10uM,1,19,19,0.481,71.895,1366
1,C_10uM,4,280,70,10.283,83.094,6997.75
1,C_10uM,0,0,NaN,0,NaN,NaN
1,C_10uM,0,0,NaN,0,NaN,NaN
1,C_10uM,3,33,11,1.029,71.376,832.667
1,C_10uM,1,6,6,0.244,69.333,416
1,C_10uM,0,0,NaN,0,NaN,NaN
1,C_10uM,1,4,4,0.248,70.5,282
1,C_10uM,0,0,NaN,0,NaN,NaN
1,C_10uM,2,9,4.5,0.214,72.75,330
1,C_10uM,7,139,19.857,2.841,71.172,1509
1,C_10uM,0,0,NaN,0,NaN,NaN
1,C_10uM,4,622,155.5,15.115,87.811,16350
1,C_10uM,3,6,2,0.223,69.389,139
1,C_10uM,0,0,NaN,0,NaN,NaN
1,C_10uM,1,28,28,0.966,71,1988
1,C_10uM,1,2,2,0.064,71,142
1,C_10uM,0,0,NaN,0,NaN,NaN
1,C_10uM,0,0,NaN,0,NaN,NaN
1,C_10uM,0,0,NaN,0,NaN,NaN
1,C_10uM,0,0,NaN,0,NaN,NaN
1,C_10uM,5,44,8.8,1.036,70.283,647.2
1,C_10uM,0,0,NaN,0,NaN,NaN
1,C_10uM,1,1,1,0.034,69,69
1,C_10uM,2,6,3,0.191,71.7,216.5
1,C_10uM,4,7,1.75,0.172,70.458,123.75
1,C_10uM,1,10,10,0.359,74.7,747
1,C_10uM,0,0,NaN,0,NaN,NaN
1,C_10uM,0,0,NaN,0,NaN,NaN
1,C_10uM,12,49,4.083,1.35,69.668,286.25
1,C_10uM,6,311,51.833,7.431,78.001,4238.833
1,C_10uM,0,0,NaN,0,NaN,NaN
1,C_10uM,9,49,5.444,1.321,70.105,391.444
1,C_10uM,1,4,4,0.089,70.25,281
1,C_10uM,0,0,NaN,0,NaN,NaN
1,C_10uM,0,0,NaN,0,NaN,NaN
1,C_10uM,0,0,NaN,0,NaN,NaN
1,C_10uM,1,1,1,0.06,69,69
1,C_10uM,0,0,NaN,0,NaN,NaN
1,C_10uM,1,2,2,0.055,72,144
1,C_10uM,1,17,17,0.387,95.412,1622
1,C_10uM,5,48,9.6,3.154,71.372,716.8
1,C_10uM,2,2,1,0.051,69,69
1,C_10uM,3,3,1,0.079,69,69
1,C_10uM,0,0,NaN,0,NaN,NaN
1,C_10uM,3,281,93.667,6.243,71.924,7186
1,C_10uM,0,0,NaN,0,NaN,NaN
1,C_10uM,3,143,47.667,3.352,72.764,3545
1,C_10uM,5,1043,208.6,21.382,72.348,17727.6
1,C_10uM,39,114,2.923,2.822,69.545,203.949
1,C_10uM,8,66,8.25,1.238,69.787,583
1,C_10uM,57,1898,33.298,31.346,69.975,2632.614
1,C_10uM,25,1539,61.56,24.699,70.16,5153.24
1,C_10uM,26,59,2.269,1.702,69.427,158.154
1,C_10uM,7,18,2.571,0.275,69.65,180
1,C_10uM,0,0,NaN,0,NaN,NaN
1,C_10uM,0,0,NaN,0,NaN,NaN
1,C_10uM,0,0,NaN,0,NaN,NaN
1,C_10uM,0,0,NaN,0,NaN,NaN
1,C_10uM,0,0,NaN,0,NaN,NaN
1,C_10uM,0,0,NaN,0,NaN,NaN
1,C_10uM,21,245,11.667,3.012,69.811,834.714
1,C_10uM,1,1,1,0.022,69,69
