Experiment,Condition,Count,TotalArea,AverageSize,AreaPercentage,Mean,IntDen
2,C_10uM,1,1,1,0.037,50,50
2,C_10uM,1,1,1,0.025,52,52
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,1,1,1,0.07,50,50
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,2,2,1,0.1,50,50
2,C_10uM,1,1,1,0.026,50,50
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,2,9,4.5,0.206,52,237.5
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,1,1,1,0.041,52,52
2,C_10uM,1,1,1,0.045,50,50
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,1,1,1,0.054,50,50
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,1,2,2,0.079,50,100
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,1,1,1,0.025,50,50
2,C_10uM,1,12,12,0.256,59.75,717
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,3,319,106.333,7.971,58.954,7393
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,1,1,1,0.038,53,53
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,3,13,4.333,0.426,53.815,243
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,1,1,1,0.06,53,53
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,1,1,1,0.023,53,53
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,1,1,1,0.026,50,50
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,2,2,1,0.077,52,52
2,C_10uM,0,0,NaN,0,NaN,NaN
2,C_10uM,0,0,NaN,0,NaN,NaN
