Experiment,Minute,Event,Chamber,Event Text,A,B,Condition
3,153.07,,,,162.8927,174.0274,
3,153.1,,,,162.7152,173.8274,
3,153.13,,,,162.5535,173.6363,
3,153.17,,,,162.4087,173.4312,
3,153.2,,,,162.2847,173.2273,
3,153.23,,,,162.1741,173.0414,
3,153.27,,,,162.0549,172.858,
3,153.3,,,,161.898,172.6644,
3,153.33,,,,161.7071,172.4631,
3,153.37,,,,161.5308,172.2835,
3,153.4,,,,161.3971,172.0771,
3,153.43,,,,161.2706,171.8912,
3,153.47,,,,161.1417,171.7001,
3,153.5,,,,161.0237,171.5129,
3,153.53,,,,160.8669,171.3552,
3,153.57,,,,160.6942,171.1731,
3,153.6,,,,160.5872,170.9795,
3,153.63,,,,160.4741,170.7923,
3,153.67,,,,160.3282,170.6204,
3,153.7,,,,160.1799,170.4499,
3,153.73,,,,160.0218,170.3063,
3,153.77,,,,159.8674,170.1473,
3,153.8,,,,159.6898,169.9665,
3,153.83,,,,159.539,169.7844,
3,153.87,,,,159.4101,169.6228,
3,153.9,,,,159.3323,169.4779,
3,153.93,,,,159.2399,169.3241,
3,153.97,,,,159.1195,169.1484,
3,154,,,,158.9943,169.006,
3,154.03,,,,158.8447,168.8483,
3,154.07,,,,158.7085,168.7265,
3,154.1,,,,158.5735,168.5714,
3,154.13,,,,158.4276,168.3918,
3,154.17,,,,158.3121,168.2405,
3,154.2,,,,158.1929,168.1059,
3,154.23,,,,158.047,167.9546,
3,154.27,,,,157.8902,167.8315,
3,154.3,,,,157.7503,167.6815,
3,154.33,,,,157.6263,167.5302,
3,154.37,,,,157.5096,167.4058,
3,154.4,,,,157.394,167.2545,
3,154.43,,,,157.287,167.1057,
3,154.47,,,,157.1679,166.9878,
3,154.5,,,,157.0183,166.8608,
3,154.53,,,,156.8906,166.7159,
3,154.57,,,,156.7447,166.5646,
3,154.6,,,,156.617,166.4197,
3,154.63,,,,156.5003,166.2966,
3,154.67,,,,156.3982,166.1427,
3,154.7,,,,156.2693,166.0209,
3,154.73,,,,156.1221,165.935,
3,154.77,,,,156.003,165.8093,
3,154.8,,,,155.913,165.6786,
3,154.83,,,,155.7877,165.5529,
3,154.87,,,,155.6661,165.4529,
3,154.9,,,,155.5372,165.3323,
3,154.93,,,,155.3889,165.19,
3,154.97,,,,155.3001,165.04,
3,155,,,,155.1688,164.9066,
3,155.03,,,,155.0302,164.7899,
3,155.07,,,,154.9147,164.7168,
3,155.1,,,,154.8016,164.6053,
3,155.13,,,,154.6885,164.4617,
3,155.17,,,,154.5559,164.3386,
3,155.2,,,,154.4489,164.2501,
3,155.23,,,,154.3128,164.1462,
3,155.27,,,,154.2118,164.0424,
3,155.3,,,,154.1206,163.927,
3,155.33,,,,154.027,163.8141,
3,155.37,,,,153.9334,163.7064,
3,155.4,,,,153.875,163.591,
3,155.43,,,,153.8324,163.4948,
3,155.47,,,,153.8397,163.4153,
3,155.5,,,,153.8762,163.3012,
3,155.53,CN,Both,,153.9285,163.1807,C1
3,155.57,,,,154.0112,163.0884,
3,155.6,,,,154.0586,162.9999,
3,155.63,,,,154.1182,162.9229,
3,155.67,,,,154.1948,162.8422,
3,155.7,,,,154.2629,162.7396,
3,155.73,,,,154.32,162.6178,
3,155.77,,,,154.3906,162.5203,
3,155.8,,,,154.4684,162.4447,
3,155.83,,,,154.5389,162.387,
3,155.87,,,,154.6253,162.3023,
3,155.9,,,,154.6921,162.2228,
3,155.93,,,,154.7408,162.1626,
3,155.97,,,,154.8016,162.1138,
3,156,,,,154.8672,162.0651,
3,156.03,,,,154.9086,162.0343,
3,156.07,,,,154.9609,162.0138,
3,156.1,,,,155.0253,161.9946,
3,156.13,,,,155.1104,161.983,
3,156.17,,,,155.1822,161.9651,
3,156.2,,,,155.2564,161.9164,
3,156.23,,,,155.2965,161.8958,
3,156.27,,,,155.3244,161.8997,
3,156.3,,,,155.378,161.9035,
3,156.33,,,,155.4388,161.9151,
3,156.37,,,,155.4874,161.8933,
3,156.4,,,,155.5385,161.8933,
3,156.43,,,,155.5762,161.9164,
3,156.47,,,,155.6187,161.9279,
3,156.5,,,,155.6649,161.9356,
3,156.53,,,,155.6832,161.942,
3,156.57,,,,155.7233,161.9728,
3,156.6,,,,155.7513,161.9882,
3,156.63,,,,155.7902,162.0023,
3,156.67,,,,155.8303,162.0138,
3,156.7,,,,155.885,162.0292,
3,156.73,,,,155.947,162.0369,
3,156.77,,,,155.9945,162.042,
3,156.8,,,,155.9957,162.0651,
3,156.83,,,,156.0115,162.0741,
3,156.87,,,,156.0078,162.1215,
3,156.9,,,,156.0273,162.1549,
3,156.93,,,,156.0796,162.1792,
3,156.97,,,,156.1294,162.2139,
3,157,,,,156.1392,162.2126,
3,157.03,,,,156.1404,162.2215,
3,157.07,,,,156.1781,162.2331,
3,157.1,,,,156.2279,162.2639,
3,157.13,,,,156.2498,162.2998,
3,157.17,,,,156.2729,162.3241,
3,157.2,,,,156.3057,162.3459,
3,157.23,,,,156.3374,162.3575,
3,157.27,,,,156.3909,162.4049,
3,157.3,,,,156.4577,162.4434,
3,157.33,,,,156.4796,162.4575,
3,157.37,,,,156.5039,162.487,
3,157.4,,,,156.5222,162.528,
3,157.43,,,,156.5392,162.5254,
3,157.47,,,,156.5854,162.5447,
3,157.5,,,,156.5891,162.5896,
3,157.53,,,,156.5842,162.5985,
3,157.57,,,,156.6158,162.6306,
3,157.6,,,,156.628,162.6729,
3,157.63,,,,156.6474,162.7011,
3,157.67,,,,156.6766,162.7075,
3,157.7,,,,156.7107,162.7306,
3,157.73,,,,156.7289,162.7704,
